0_answers,0_clear_goals,0_course_name,0_course_rate,0_course_requirements,0_dept,0_feedback,0_hrs_week,0_level,0_num,0_prof_interest,0_respect,0_semester,0_semester_int,0_students,0_subject_importance,0_subject_matter,0_teaching_rate,0_year,1_answers,1_clear_goals,1_course_name,1_course_rate,1_course_requirements,1_dept,1_feedback,1_hrs_week,1_level,1_num,1_prof_interest,1_respect,1_semester,1_semester_int,1_students,1_subject_importance,1_subject_matter,1_teaching_rate,1_year,2_answers,2_clear_goals,2_course_name,2_course_rate,2_course_requirements,2_dept,2_feedback,2_hrs_week,2_level,2_num,2_prof_interest,2_respect,2_semester,2_semester_int,2_students,2_subject_importance,2_subject_matter,2_teaching_rate,2_year,3_answers,3_clear_goals,3_course_name,3_course_rate,3_course_requirements,3_dept,3_feedback,3_hrs_week,3_level,3_num,3_prof_interest,3_respect,3_semester,3_semester_int,3_students,3_subject_importance,3_subject_matter,3_teaching_rate,3_year,4_answers,4_clear_goals,4_course_name,4_course_rate,4_course_requirements,4_dept,4_feedback,4_hrs_week,4_level,4_num,4_prof_interest,4_respect,4_semester,4_semester_int,4_students,4_subject_importance,4_subject_matter,4_teaching_rate,4_year
45,3.7800000000000007,GRAMMARS & LEXICONS,3.643333333333333,3.7800000000000007,LTI,3.696666666666667,11.470000000000002,Graduate,11721,4.29,4.6899999999999995,Fall,9,72,3.8333333333333335,3.9300000000000006,3.913333333333334,2017,10,4.4,GRAMMARS & LEXICONS,4.6,4.2,LTI,4.3,14.3,Graduate,11721,4.5,4.8,Fall,9,26,4.6,4.5,4.4,2016,26,4.2299999999999995,GRAMMARS & LEXICONS,4.0,4.345,LTI,4.194999999999999,7.385,Graduate,11721,4.5,4.7299999999999995,Fall,9,32,4.385,4.385,4.305000000000001,2015,30,3.7700000000000005,GRAMMARS & LEXICONS,3.7,3.7,LTI,3.765,9.67,Graduate,11721,4.065,4.3,Fall,9,52,3.935,3.8,3.7,2014,26,4.040000000000001,GRAMMARS & LEXICONS,3.6500000000000004,3.8850000000000007,LTI,3.73,,Graduate,11721,3.9199999999999995,4.655,Fall,9,46,3.81,3.615,3.58,2013
15,4.6,MACHINE TRANSLATION,4.67,4.53,LTI,4.53,12.43,Graduate,11731,4.87,4.87,Spring,1,29,4.73,4.73,4.67,2017,9,4.56,MACHINE TRANSLATION,4.56,4.33,LTI,3.8899999999999997,10.33,Graduate,11731,4.56,4.78,Spring,1,21,4.67,4.89,4.78,2016,22,4.225,MACHINE TRANSLATION,4.595,4.09,LTI,3.635,10.55,Graduate,11731,4.405,4.5,Spring,1,28,4.405,4.36,4.27,2015,10,4.8,MACHINE TRANSLATION,4.8,4.7,LTI,4.4,,Graduate,11731,4.9,5.0,Spring,1,24,5.0,5.0,4.6,2014,22,4.46,MACHINE TRANSLATION,4.56,4.41,LTI,4.079999999999999,,Graduate,11731,4.555000000000001,4.555000000000001,Spring,1,28,4.5,4.550000000000001,4.205,2013
3,4.666666666666667,GRAD SEM ENDG LANG,4.666666666666667,4.666666666666667,LTI,4.0,8.0,Graduate,11736,4.333333333333333,5.0,Fall,9,9,4.666666666666667,4.666666666666667,4.333333333333333,2017,1,5.0,GRAD SEM ENDG LANG,5.0,5.0,LTI,5.0,,Graduate,11736,5.0,5.0,Fall,9,3,5.0,5.0,5.0,2016,9,4.89,GRAD SEM ENDG LANG,4.779999999999999,5.0,LTI,4.779999999999999,2.0,Graduate,11736,5.0,5.0,Fall,9,12,4.89,4.89,5.0,2015,16,4.125,GRAD SEM ENDG LANG,4.5,3.8125,LTI,3.9375,2.75,Graduate,11736,4.5625,5.0,Fall,9,20,4.9375,4.75,4.375,2014,16,3.5625,GRAD SEM ENDG LANG,4.0825,3.5625,LTI,3.9375,,Graduate,11736,4.1875,4.625,Fall,9,16,4.375,4.0625,4.25,2013
7,4.29,MACH LRNG TXT MINING,4.57,4.14,LTI,4.14,12.709999999999999,Graduate,11741,4.57,4.14,Spring,1,12,4.43,4.29,4.14,2016,7,3.86,MACH LRNG TXT MINING,3.86,3.71,LTI,3.57,10.5,Graduate,11741,3.86,3.86,Fall,9,7,4.29,4.29,3.86,2015,5,4.2,MACH LRNG TXT MINING,3.8,4.2,LTI,4.2,6.8,Graduate,11741,4.6,4.2,Spring,1,8,4.4,4.2,3.8,2015,30,3.945,INFO RETRIEVAL,3.865,4.085,LTI,3.74,,Graduate,11741,3.915,3.8,Spring,1,46,4.0649999999999995,4.05,3.795,2014,38,4.075,INFO RETRIEVAL,3.945,4.055,LTI,4.03,,Graduate,11741,4.29,4.425,Spring,1,64,4.21,4.13,4.095000000000001,2013
6,4.67,MACH LRNG TXT MINING,4.67,4.67,LTI,4.67,10.5,Graduate,11741,4.5,4.33,Fall,9,9,4.83,4.5,4.5,2016,7,4.29,MACH LRNG TXT MINING,4.57,4.14,LTI,4.14,12.709999999999999,Graduate,11741,4.57,4.14,Spring,1,12,4.43,4.29,4.14,2016,7,3.86,MACH LRNG TXT MINING,3.86,3.71,LTI,3.57,10.5,Graduate,11741,3.86,3.86,Fall,9,7,4.29,4.29,3.86,2015,5,4.2,MACH LRNG TXT MINING,3.8,4.2,LTI,4.2,6.8,Graduate,11741,4.6,4.2,Spring,1,8,4.4,4.2,3.8,2015,30,3.945,INFO RETRIEVAL,3.865,4.085,LTI,3.74,,Graduate,11741,3.915,3.8,Spring,1,46,4.0649999999999995,4.05,3.795,2014
2,2.5,MACH LRNG TXT MINING,3.0,2.5,LTI,2.5,11.0,Graduate,11741,3.5,3.0,Fall,9,3,4.0,3.0,3.0,2017,2,4.5,MACH LRNG TXT MINING,4.5,4.5,LTI,5.0,16.0,Graduate,11741,4.5,4.5,Spring,1,4,4.5,4.5,4.5,2017,6,4.67,MACH LRNG TXT MINING,4.67,4.67,LTI,4.67,10.5,Graduate,11741,4.5,4.33,Fall,9,9,4.83,4.5,4.5,2016,7,4.29,MACH LRNG TXT MINING,4.57,4.14,LTI,4.14,12.709999999999999,Graduate,11741,4.57,4.14,Spring,1,12,4.43,4.29,4.14,2016,7,3.86,MACH LRNG TXT MINING,3.86,3.71,LTI,3.57,10.5,Graduate,11741,3.86,3.86,Fall,9,7,4.29,4.29,3.86,2015
2,4.5,MACH LRNG TXT MINING,4.5,4.5,LTI,5.0,16.0,Graduate,11741,4.5,4.5,Spring,1,4,4.5,4.5,4.5,2017,6,4.67,MACH LRNG TXT MINING,4.67,4.67,LTI,4.67,10.5,Graduate,11741,4.5,4.33,Fall,9,9,4.83,4.5,4.5,2016,7,4.29,MACH LRNG TXT MINING,4.57,4.14,LTI,4.14,12.709999999999999,Graduate,11741,4.57,4.14,Spring,1,12,4.43,4.29,4.14,2016,7,3.86,MACH LRNG TXT MINING,3.86,3.71,LTI,3.57,10.5,Graduate,11741,3.86,3.86,Fall,9,7,4.29,4.29,3.86,2015,5,4.2,MACH LRNG TXT MINING,3.8,4.2,LTI,4.2,6.8,Graduate,11741,4.6,4.2,Spring,1,8,4.4,4.2,3.8,2015
5,4.8,SPCH RECOGN & UNDSTG,4.2,4.8,LTI,4.4,12.2,Graduate,11751,4.4,4.4,Fall,9,10,4.8,4.8,4.4,2017,2,4.5,SPCH RECOGN & UNDSTG,4.0,5.0,LTI,4.5,9.5,Graduate,11751,5.0,5.0,Fall,9,2,4.5,3.5,3.5,2016,4,4.5,SPCH RECOGN & UNDSTG,4.75,5.0,LTI,4.75,16.5,Graduate,11751,4.75,5.0,Fall,9,4,5.0,4.5,4.5,2015,6,3.5,SPCH RECOGN & UNDSTG,3.0,3.5,LTI,4.0,11.0,Graduate,11751,4.0,4.0,Fall,9,8,4.0,3.17,3.33,2014,5,4.6,SPCH RECOGN & UNDSTG,4.0,4.4,LTI,4.2,,Graduate,11751,4.2,4.8,Fall,9,9,4.4,3.8,3.8,2013
5,4.0,MACHINE LRNG SGN PRC,4.0,4.0,LTI,3.4,12.2,Graduate,11755,4.4,4.4,Fall,9,7,4.4,4.6,4.2,2016,8,4.63,MACHINE LRNG SGN PRC,4.13,4.25,LTI,4.13,9.86,Graduate,11755,4.63,4.75,Fall,9,10,4.63,4.25,4.63,2015,18,4.78,MACHINE LRNG SGN PRC,4.67,4.67,LTI,4.11,16.44,Graduate,11755,4.72,4.61,Spring,1,26,4.78,4.72,4.78,2015,4,4.75,MACHINE LRNG SGN PRC,4.25,4.75,LTI,4.25,11.25,Graduate,11755,5.0,5.0,Fall,9,10,4.5,4.25,4.75,2014,7,4.86,MACHINE LRNG SGN PRC,4.86,4.57,LTI,4.29,,Graduate,11755,4.71,4.86,Fall,9,14,4.86,4.86,4.86,2013
3,4.67,MACHINE LRNG SGN PRC,4.67,3.67,LTI,3.0,10.0,Graduate,11755,5.0,5.0,Fall,9,10,5.0,5.0,5.0,2017,5,4.0,MACHINE LRNG SGN PRC,4.0,4.0,LTI,3.4,12.2,Graduate,11755,4.4,4.4,Fall,9,7,4.4,4.6,4.2,2016,8,4.63,MACHINE LRNG SGN PRC,4.13,4.25,LTI,4.13,9.86,Graduate,11755,4.63,4.75,Fall,9,10,4.63,4.25,4.63,2015,18,4.78,MACHINE LRNG SGN PRC,4.67,4.67,LTI,4.11,16.44,Graduate,11755,4.72,4.61,Spring,1,26,4.78,4.72,4.78,2015,4,4.75,MACHINE LRNG SGN PRC,4.25,4.75,LTI,4.25,11.25,Graduate,11755,5.0,5.0,Fall,9,10,4.5,4.25,4.75,2014
18,4.94,LANG & STATS,4.83,5.0,LTI,4.78,10.17,Graduate,11761,4.94,4.94,Fall,9,24,4.78,4.89,4.94,2016,27,4.74,LANG & STATS,4.56,4.74,LTI,4.59,11.07,Graduate,11761,4.78,4.809999999999999,Spring,1,38,4.78,4.67,4.7,2016,8,4.5,LANG & STATS,4.38,4.63,LTI,4.25,8.43,Graduate,11761,4.75,4.88,Spring,1,12,4.13,4.63,4.88,2015,15,4.73,LANG & STATS,4.67,4.73,LTI,4.47,,Graduate,11761,4.929999999999999,4.8,Spring,1,19,4.6,4.87,4.87,2014,33,4.7,LANG & STAT,4.7,4.73,LTI,4.42,,Graduate,11761,4.82,4.94,Spring,1,42,4.79,4.88,4.91,2013
21,4.86,LANG & STATS,4.86,4.86,LTI,4.71,10.19,Graduate,11761,4.86,4.95,Fall,9,34,4.9,4.95,4.95,2017,18,4.94,LANG & STATS,4.83,5.0,LTI,4.78,10.17,Graduate,11761,4.94,4.94,Fall,9,24,4.78,4.89,4.94,2016,27,4.74,LANG & STATS,4.56,4.74,LTI,4.59,11.07,Graduate,11761,4.78,4.809999999999999,Spring,1,38,4.78,4.67,4.7,2016,8,4.5,LANG & STATS,4.38,4.63,LTI,4.25,8.43,Graduate,11761,4.75,4.88,Spring,1,12,4.13,4.63,4.88,2015,15,4.73,LANG & STATS,4.67,4.73,LTI,4.47,,Graduate,11761,4.929999999999999,4.8,Spring,1,19,4.6,4.87,4.87,2014
15,3.8,INTRO DEEP LRNG.,3.4,3.07,LTI,2.67,14.2,Graduate,11785,4.13,4.4,Fall,9,23,4.53,4.53,4.6,2017,9,4.0,LB COURSE DEEP LRNG,4.22,4.11,LTI,4.33,9.0,Graduate,11785,4.44,4.44,Fall,9,14,4.44,4.22,4.11,2016,21,3.19,LB COURSE DEEP LRNG,2.86,3.0,LTI,3.1399999999999997,9.95,Graduate,11785,3.57,3.95,Fall,9,34,3.6199999999999997,3.29,3.52,2015,15,4.2,LB COURSE DEEP LRNG,4.13,3.87,LTI,4.2,9.33,Graduate,11785,4.47,4.6,Fall,9,20,4.4,4.27,4.4,2014,10,3.78,LB COURSE DEEP LRNG,3.5,3.6700000000000004,LTI,3.3299999999999996,,Graduate,11785,3.6,4.2,Fall,9,12,4.0,3.78,3.56,2013
7,3.86,DESG ENG INTL INF SY,3.57,3.71,LTI,3.86,10.67,Graduate,11791,3.71,4.14,Spring,1,17,3.71,3.71,3.43,2017,7,3.57,DESG ENG INTL INF SY,3.86,3.57,LTI,3.71,9.290000000000001,Graduate,11791,4.0,4.14,Fall,9,12,3.86,3.71,3.86,2016,21,3.0,DESG ENG INTL INF SY,2.57,3.1399999999999997,LTI,2.76,13.14,Graduate,11791,3.1399999999999997,3.52,Fall,9,25,2.95,2.52,2.57,2015,15,3.73,DESG ENG INTL INF SY,3.2,3.6,LTI,3.87,11.0,Graduate,11791,3.73,4.53,Fall,9,27,3.87,3.8,3.53,2014,42,2.88,DESG ENG INTL INF SY,2.8,3.22,LTI,2.61,,Graduate,11791,3.05,3.49,Fall,9,56,3.1499999999999995,3.1199999999999997,3.1000000000000005,2013
3,4.33,DESG ENG INTL INF SY,3.33,3.0,LTI,3.67,10.0,Graduate,11791,4.0,5.0,Fall,9,6,4.33,4.0,3.67,2017,7,3.86,DESG ENG INTL INF SY,3.57,3.71,LTI,3.86,10.67,Graduate,11791,3.71,4.14,Spring,1,17,3.71,3.71,3.43,2017,7,3.57,DESG ENG INTL INF SY,3.86,3.57,LTI,3.71,9.290000000000001,Graduate,11791,4.0,4.14,Fall,9,12,3.86,3.71,3.86,2016,21,3.0,DESG ENG INTL INF SY,2.57,3.1399999999999997,LTI,2.76,13.14,Graduate,11791,3.1399999999999997,3.52,Fall,9,25,2.95,2.52,2.57,2015,15,3.73,DESG ENG INTL INF SY,3.2,3.6,LTI,3.87,11.0,Graduate,11791,3.73,4.53,Fall,9,27,3.87,3.8,3.53,2014
31,4.77,DIRECTED RESEARCH,4.77,4.77,LTI,4.77,20.69,Graduate,11910,4.77,4.73,Fall,9,111,4.77,4.73,4.77,2016,4,4.7524999999999995,DIRECTED RESEARCH,5.0,4.7524999999999995,LTI,5.0,19.7475,Graduate,11910,5.0,5.0,Fall,9,6,4.7524999999999995,4.7524999999999995,5.0,2015,3,5.0,DIRECTED RESEARCH,5.0,5.0,LTI,5.0,20.666666666666668,Graduate,11910,5.0,5.0,Spring,1,7,5.0,5.0,5.0,2015,3,4.666666666666667,DIRECTED RESEARCH,4.666666666666667,4.666666666666667,LTI,4.666666666666667,21.0,Graduate,11910,4.666666666666667,4.666666666666667,Fall,9,7,4.666666666666667,4.666666666666667,4.666666666666667,2014,1,5.0,DIRECTED RESEARCH,5.0,5.0,LTI,5.0,,Graduate,11910,5.0,5.0,Fall,9,2,5.0,5.0,5.0,2013
51,4.78,DIRECTED RESEARCH,4.75,4.74,LTI,4.78,20.59,Graduate,11910,4.82,4.78,Fall,9,139,4.73,4.7,4.76,2017,31,4.77,DIRECTED RESEARCH,4.77,4.77,LTI,4.77,20.69,Graduate,11910,4.77,4.73,Fall,9,111,4.77,4.73,4.77,2016,4,4.7524999999999995,DIRECTED RESEARCH,5.0,4.7524999999999995,LTI,5.0,19.7475,Graduate,11910,5.0,5.0,Fall,9,6,4.7524999999999995,4.7524999999999995,5.0,2015,3,5.0,DIRECTED RESEARCH,5.0,5.0,LTI,5.0,20.666666666666668,Graduate,11910,5.0,5.0,Spring,1,7,5.0,5.0,5.0,2015,3,4.666666666666667,DIRECTED RESEARCH,4.666666666666667,4.666666666666667,LTI,4.666666666666667,21.0,Graduate,11910,4.666666666666667,4.666666666666667,Fall,9,7,4.666666666666667,4.666666666666667,4.666666666666667,2014
95,4.627157894736842,INTRO CIV & ENV ENG,4.620736842105264,4.73378947368421,CEE,4.501894736842105,6.727473684210526,Undergraduate,12100,4.808105263157895,4.889052631578948,Fall,9,118,4.789263157894737,4.6466315789473684,4.700947368421053,2017,53,4.06,INTRO CIV & ENV ENG,3.85,4.1,CEE,3.84,5.400000000000001,Undergraduate,12100,4.0,4.58,Spring,1,68,4.15,4.19,4.0,2017,44,4.37,INTRO CIV & ENV ENG,4.16,4.4,CEE,4.3,7.4,Undergraduate,12100,4.6,4.65,Fall,9,54,4.51,4.26,4.16,2016,71,3.66,INTRO CIV & ENV ENG,3.13,3.51,CEE,3.24,6.56,Undergraduate,12100,3.66,3.24,Spring,1,81,3.8500000000000005,3.76,3.27,2016,50,4.41,INTRO CIV & ENV ENG,4.16,4.43,CEE,4.2,5.9,Undergraduate,12100,4.45,4.63,Fall,9,66,4.53,4.43,4.2,2015
53,4.06,INTRO CIV & ENV ENG,3.85,4.1,CEE,3.84,5.400000000000001,Undergraduate,12100,4.0,4.58,Spring,1,68,4.15,4.19,4.0,2017,44,4.37,INTRO CIV & ENV ENG,4.16,4.4,CEE,4.3,7.4,Undergraduate,12100,4.6,4.65,Fall,9,54,4.51,4.26,4.16,2016,71,3.66,INTRO CIV & ENV ENG,3.13,3.51,CEE,3.24,6.56,Undergraduate,12100,3.66,3.24,Spring,1,81,3.8500000000000005,3.76,3.27,2016,50,4.41,INTRO CIV & ENV ENG,4.16,4.43,CEE,4.2,5.9,Undergraduate,12100,4.45,4.63,Fall,9,66,4.53,4.43,4.2,2015,60,4.37,INTRO CIV & ENV ENG,4.17,4.38,CEE,4.17,6.05,Undergraduate,12100,4.52,4.63,Spring,1,67,4.62,4.5,4.37,2015
35,2.772,GEOLOGY,2.5980000000000003,2.916,CEE,2.5140000000000002,5.174,Undergraduate,12201,3.484,4.198,Fall,9,90,3.0880000000000005,2.686,2.656,2017,23,4.57,GEOLOGY,4.43,4.61,CEE,4.3,5.27,Undergraduate,12201,4.61,4.74,Spring,1,51,4.39,4.57,4.48,2017,34,4.29,GEOLOGY,4.0,4.29,CEE,3.68,4.65,Undergraduate,12201,4.29,4.47,Fall,9,53,4.06,4.21,4.12,2016,17,4.47,GEOLOGY,4.12,4.53,CEE,4.12,6.06,Undergraduate,12201,4.59,4.65,Spring,1,38,4.71,4.41,4.29,2016,22,4.27,GEOLOGY,4.18,4.27,CEE,4.23,6.23,Undergraduate,12201,4.36,4.82,Fall,9,38,4.45,4.45,4.18,2015
23,4.57,GEOLOGY,4.43,4.61,CEE,4.3,5.27,Undergraduate,12201,4.61,4.74,Spring,1,51,4.39,4.57,4.48,2017,34,4.29,GEOLOGY,4.0,4.29,CEE,3.68,4.65,Undergraduate,12201,4.29,4.47,Fall,9,53,4.06,4.21,4.12,2016,17,4.47,GEOLOGY,4.12,4.53,CEE,4.12,6.06,Undergraduate,12201,4.59,4.65,Spring,1,38,4.71,4.41,4.29,2016,22,4.27,GEOLOGY,4.18,4.27,CEE,4.23,6.23,Undergraduate,12201,4.36,4.82,Fall,9,38,4.45,4.45,4.18,2015,20,4.0,GEOLOGY,3.7,4.0,CEE,3.65,5.15,Undergraduate,12201,4.1,4.35,Spring,1,40,4.11,4.05,3.7,2015
9,4.78,INTR PRF WRTG IN CEE,4.89,4.78,CEE,5.0,5.67,Undergraduate,12215,5.0,5.0,Fall,9,15,5.0,5.0,5.0,2017,7,4.71,INTR PRF WRTG IN CEE,4.86,4.86,CEE,4.86,3.29,Undergraduate,12215,4.86,4.86,Fall,9,11,4.86,4.71,4.86,2015,7,4.86,INTR PRF WRTG IN CEE,4.86,4.86,CEE,4.86,4.57,Undergraduate,12215,5.0,5.0,Spring,1,9,5.0,4.86,4.86,2015,13,4.85,INTR PRF WRTG IN CEE,4.77,4.54,CEE,4.77,,Undergraduate,12215,4.54,4.69,Spring,1,16,4.77,4.77,4.77,2014,9,4.78,INTR PRF WRTG IN CEE,4.89,4.78,CEE,4.89,,Undergraduate,12215,4.89,4.78,Spring,1,12,4.89,4.78,4.78,2013
27,4.11,SOLID MECHANICS,4.11,4.07,CEE,3.74,10.11,Undergraduate,12231,4.26,4.63,Spring,1,27,4.3,4.19,4.26,2017,41,4.1,SOLID MECHANICS,3.8200000000000003,4.17,CEE,3.8200000000000003,8.37,Undergraduate,12231,4.02,4.28,Spring,1,41,4.17,4.0,3.9500000000000006,2016,28,3.79,SOLID MECHANICS,3.36,3.93,CEE,2.75,9.64,Undergraduate,12231,3.54,3.96,Spring,1,28,3.78,3.75,3.57,2015,53,3.88,SOLID MECHANICS,3.6,3.85,CEE,3.25,,Undergraduate,12231,3.5100000000000002,3.87,Spring,1,53,3.81,3.83,3.48,2014,56,4.04,SOLID MECHANICS,3.84,4.14,CEE,3.5,,Undergraduate,12231,3.86,4.05,Spring,1,57,4.14,4.0,3.82,2013
54,4.055000000000001,SOLID MECHANICS LAB,3.665,3.9950000000000006,CEE,4.09,9.459999999999999,Undergraduate,12232,4.335000000000001,4.199999999999999,Spring,1,60,4.010000000000001,4.03,4.010000000000001,2017,68,3.7549999999999994,SOLID MECHANICS LAB,3.5599999999999996,3.52,CEE,3.5300000000000002,9.15,Undergraduate,12232,3.8899999999999997,3.645,Spring,1,84,3.93,3.6849999999999996,3.65,2016,19,4.26,SOLID MECHANICS LAB,3.32,4.05,CEE,3.37,10.11,Undergraduate,12232,3.74,3.8899999999999997,Spring,1,20,4.05,3.7900000000000005,3.5799999999999996,2015,34,3.5,SOLID MECHANICS LAB,3.0,3.29,CEE,3.59,,Undergraduate,12232,3.76,3.35,Spring,1,37,3.91,3.38,3.18,2014,74,3.4299999999999997,SOLID MECHANICS LAB,2.96,2.96,CEE,3.375,,Undergraduate,12232,3.8,3.5100000000000002,Spring,1,94,3.8499999999999996,3.285,3.33,2013
17,3.63,INT CM AP CV ENV ENG,3.0,3.53,CEE,3.24,6.76,Undergraduate,12271,3.76,3.8799999999999994,Spring,1,31,3.71,3.5,3.29,2017,25,4.48,INT CM AP CV ENV ENG,4.44,4.4,CEE,4.28,7.04,Undergraduate,12271,4.6,4.6,Spring,1,42,4.52,4.2,4.48,2016,18,4.39,INT CM AP CV ENV ENG,4.11,4.22,CEE,3.6100000000000003,7.83,Undergraduate,12271,4.44,4.78,Spring,1,26,4.22,4.11,4.28,2015,25,4.48,INT CM AP CV ENV ENG,4.16,4.32,CEE,4.24,,Undergraduate,12271,4.56,4.68,Spring,1,37,4.36,4.36,4.2,2014,31,4.06,INT CM AP CV ENV ENG,3.84,4.06,CEE,3.68,,Undergraduate,12271,4.39,4.39,Spring,1,44,4.32,3.74,4.0,2013
68,4.69,ENVRMNTL ENGINEERING,4.265,4.5600000000000005,CEE,4.175,8.62,Undergraduate,12351,4.575,4.59,Spring,1,72,4.5600000000000005,4.1899999999999995,4.3549999999999995,2017,30,4.6,ENVRMNTL ENGINEERING,4.265,4.6,CEE,4.485,8.295,Undergraduate,12351,4.665,4.7,Spring,1,66,4.569999999999999,4.4,4.364999999999999,2016,44,4.46,ENVRMNTL ENGINEERING,4.380000000000001,4.53,CEE,4.305,8.99,Undergraduate,12351,4.655,4.675000000000001,Spring,1,76,4.56,4.385,4.485,2015,40,4.66,ENVRMNTL ENGINEERING,4.54,4.545,CEE,4.42,,Undergraduate,12351,4.59,4.67,Spring,1,64,4.87,4.495,4.545,2014,24,4.58,ENVRMNTL ENGINEERING,4.46,4.58,CEE,4.04,,Undergraduate,12351,4.5,4.67,Spring,1,43,4.79,4.63,4.58,2013
12,4.5,ENVMNTL ENGRNG LAB,4.166666666666667,4.42,CEE,3.92,4.753333333333333,Undergraduate,12352,4.416666666666667,4.17,Spring,1,31,4.336666666666667,4.083333333333333,4.086666666666667,2017,11,4.180000000000001,ENVMNTL ENGRNG LAB,4.092727272727273,4.0,CEE,3.9072727272727277,4.181818181818182,Undergraduate,12352,4.270909090909091,4.543636363636364,Spring,1,31,4.361818181818182,4.001818181818181,4.092727272727273,2016,20,3.8,ENVMNTL ENGRNG LAB,3.4299999999999997,3.85,CEE,3.05,6.05,Undergraduate,12352,3.65,3.75,Spring,1,33,3.95,3.8,3.6,2015,34,4.616470588235295,ENVMNTL ENGRNG LAB,4.41264705882353,4.558235294117647,CEE,4.324411764705882,,Undergraduate,12352,4.58735294117647,4.678823529411765,Spring,1,64,4.529999999999999,4.441764705882353,4.41264705882353,2014,20,4.4,ENVMNTL ENGRNG LAB,4.1,4.35,CEE,4.45,,Undergraduate,12352,4.45,4.6,Spring,1,40,4.4,4.3,4.35,2013
14,4.07,MATERIALS LAB,3.57,3.79,CEE,3.86,5.2299999999999995,Undergraduate,12358,4.43,4.43,Spring,1,28,4.21,4.0,3.93,2017,22,4.07,MATERIALS LAB,3.9650000000000003,4.18,CEE,4.170000000000001,5.3,Undergraduate,12358,4.165,4.385,Spring,1,62,4.07,4.015000000000001,4.07,2016,19,4.53,MATERIALS LAB,4.53,4.53,CEE,4.42,5.05,Undergraduate,12358,4.68,4.68,Spring,1,36,4.58,4.58,4.68,2015,21,4.67,MATERIALS LAB,4.52,4.38,CEE,4.29,,Undergraduate,12358,4.71,4.38,Spring,1,39,4.76,4.71,4.71,2014,25,4.6,MATERIALS LAB,4.64,4.6,CEE,4.2,,Undergraduate,12358,4.64,4.76,Spring,1,50,4.72,4.72,4.72,2013
26,4.54,AUTOCAD,4.42,4.58,CEE,4.19,4.08,Graduate,12600,4.35,4.62,Fall,9,37,4.35,4.5,4.46,2017,30,4.8,AUTOCAD,4.8,4.77,CEE,4.53,4.25,Graduate,12600,4.67,4.76,Spring,1,45,4.63,4.83,4.7,2017,36,4.46,AUTOCAD,4.26,4.54,CEE,3.83,4.06,Graduate,12600,4.11,4.37,Fall,9,41,4.09,4.51,4.37,2016,36,4.42,AUTOCAD,4.31,4.47,CEE,4.11,3.29,Undergraduate,12600,4.14,4.47,Spring,1,37,4.31,4.5,4.31,2016,29,4.59,AUTOCAD,4.55,4.59,CEE,4.41,4.79,Undergraduate,12600,4.45,4.66,Fall,9,43,4.48,4.619999999999999,4.59,2015
30,4.8,AUTOCAD,4.8,4.77,CEE,4.53,4.25,Graduate,12600,4.67,4.76,Spring,1,45,4.63,4.83,4.7,2017,36,4.46,AUTOCAD,4.26,4.54,CEE,3.83,4.06,Graduate,12600,4.11,4.37,Fall,9,41,4.09,4.51,4.37,2016,36,4.42,AUTOCAD,4.31,4.47,CEE,4.11,3.29,Undergraduate,12600,4.14,4.47,Spring,1,37,4.31,4.5,4.31,2016,29,4.59,AUTOCAD,4.55,4.59,CEE,4.41,4.79,Undergraduate,12600,4.45,4.66,Fall,9,43,4.48,4.619999999999999,4.59,2015,18,4.53,AUTOCAD,4.35,4.59,CEE,4.35,4.17,Undergraduate,12600,4.41,4.59,Spring,1,35,4.47,4.71,4.47,2015
6,4.5,TRANSPORTATN ENGNRNG,4.5,4.5,CEE,4.5,8.0,Graduate,12604,4.5,4.5,Fall,9,11,4.67,4.5,4.5,2016,10,4.1,TRANSPORTATN ENGNRNG,4.1,3.9,CEE,3.8,8.0,Undergraduate,12604,3.9,4.3,Spring,1,24,4.7,4.3,4.0,2016,13,4.5,TRANSPORTATN ENGNRNG,4.42,4.46,CEE,4.08,10.23,Undergraduate,12604,4.54,4.58,Spring,1,21,4.5,4.42,4.5,2015,13,3.8500000000000005,TRANSPORTATN ENGNRNG,3.69,3.92,CEE,3.46,,Undergraduate,12604,4.0,4.0,Spring,1,22,4.23,3.69,3.54,2014,19,4.28,TRANSPORTATN ENGNRNG,3.9499999999999997,3.84,CEE,3.8899999999999997,,Undergraduate,12604,4.42,4.58,Spring,1,38,4.32,4.0,4.05,2013
3,5.0,MLCR SIMLN MATERLS,5.0,5.0,CEE,5.0,12.0,Graduate,12623,5.0,4.67,Fall,9,3,5.0,5.0,5.0,2017,2,5.0,MLCR SIMLN MATERLS,5.0,5.0,CEE,5.0,15.5,Graduate,12623,5.0,5.0,Fall,9,4,5.0,5.0,5.0,2016,3,5.0,MLCR SIMLN MATERLS,5.0,5.0,CEE,5.0,16.33,Undergraduate,12623,5.0,5.0,Fall,9,3,5.0,4.67,5.0,2015,3,3.67,MLCR SIMLN MATERLS,4.0,4.67,CEE,4.0,,Undergraduate,12623,4.0,4.33,Spring,1,4,3.67,3.67,4.0,2014,6,4.5,MLCR SIMLN MATERLS,4.5,4.5,CEE,4.33,,Undergraduate,12623,4.33,4.83,Spring,1,6,4.67,4.5,4.5,2013
